model,AUC (mean folds),AUC (pooled),F1 (mean folds),Accuracy (mean folds),AUC lift vs M0
M0 Market only,0.4961552849936963,0.48586841798194386,0.6786718603391535,0.5234370652094935,0.0
M1 Market + RavenPack,0.4928688982842344,0.4888789532379082,0.6756910897712547,0.5233534693438212,-0.003286386709461908
M2 Market + FinBERT,0.48842505937744585,0.48053967419316984,0.6650512358263188,0.5166231193725074,-0.0077302256162504746
Always-up reference,0.5,0.5,0.6882124948363854,0.5250676712472421,0.0038447150063036784
