session_date,r,rp_flow,rp_tone,rp_net,rp_disp,rp_absmean,rp_tail,rp_negshare,fb_flow,fb_tone,fb_net,fb_disp,fb_absmean,fb_tail,fb_negshare,mkt11,abs_r,rev1,mom5,vol5,vol20,abs_r1,med60,y_magnitude,y_direction,flow_ma20
2015-01-02,0.00012933333333333335,5.768320995793772,0.04874608150470219,15.55,0.41222779634246465,0.35746081504702193,0.01567398119122257,0.31347962382445144,5.768320995793772,-0.16491915396236606,-52.60921011399478,0.6652496969358644,0.5902771030444663,0.5266457680250783,0.44200626959247646,,0.00012933333333333335,,,,,,,,1.0,
2015-01-05,-0.01888788888888889,5.950642552587727,-0.09161879895561356,-35.089999999999996,0.4261313747498507,0.3898433420365535,0.033942558746736295,0.4830287206266319,5.950642552587727,-0.31218032582660565,-119.56506479158998,0.6461470280706652,0.6444532565271613,0.5483028720626631,0.566579634464752,,0.01888788888888889,0.00012933333333333335,,,,0.00012933333333333335,,,0.0,
2015-01-06,-0.008572444444444445,6.12029741895095,-0.04722466960352423,-21.439999999999998,0.41459334868806175,0.36427312775330395,0.015418502202643172,0.42731277533039647,6.12029741895095,-0.08527364345710513,-38.71423412952573,0.6551466878468911,0.5497389947113454,0.4889867841409692,0.3656387665198238,,0.008572444444444445,-0.01888788888888889,,,,0.01888788888888889,,,0.0,
2015-01-07,0.011791444444444446,6.20455776256869,-0.06445344129554656,-31.84,0.4266630804717306,0.3803238866396761,0.016194331983805668,0.4311740890688259,6.20455776256869,-0.20660844884684634,-102.06457373034209,0.6476170740574002,0.5911043023498284,0.5344129554655871,0.4716599190283401,,0.011791444444444446,-0.008572444444444445,,,,0.008572444444444445,,,1.0,
2015-01-08,0.017490222222222223,6.12029741895095,0.01775330396475771,8.06,0.416563011486532,0.3598237885462555,0.006607929515418502,0.33259911894273125,6.12029741895095,-0.08820769535726354,-40.04629369219765,0.6844823366023868,0.5998071708135914,0.5374449339207048,0.40969162995594716,,0.017490222222222223,0.011791444444444446,,,,0.011791444444444446,,,1.0,
2015-01-09,-0.008361222222222221,6.1779441140506,0.0036382536382536385,1.75,0.41808824092561775,0.3571101871101871,0.008316008316008316,0.3575883575883576,6.1779441140506,-0.16797927146092087,-80.79802957270294,0.6507447275867957,0.5759829136362907,0.49480249480249483,0.4407484407484408,,0.008361222222222221,0.017490222222222223,0.0019506666666666648,0.014785473385416656,,0.017490222222222223,,,0.0,
2015-01-12,-0.007575333333333335,6.100318952020064,-0.0550561797752809,-24.5,0.45188425228962664,0.3961348314606742,0.04719101123595506,0.42921348314606744,6.100318952020064,-0.13777701924188754,-61.31077356263996,0.6588635426174848,0.574747304687423,0.5258426966292135,0.4067415730337079,,0.007575333333333335,-0.008361222222222221,-0.00653988888888889,0.015301480268382656,,0.008361222222222221,,,0.0,
2015-01-13,-0.0030093333333333335,6.148468295917647,-0.055717344753747323,-26.02,0.4496480137213755,0.4032976445396146,0.03854389721627409,0.44967880085653106,6.148468295917647,-0.024788211986255027,-11.576094997581098,0.7185431360633209,0.6305760578232432,0.6038543897216274,0.37901498929336186,,0.0030093333333333335,-0.007575333333333335,0.004772666666666666,0.012660695892806346,,0.007575333333333335,,,0.0,
2015-01-14,-0.004668222222222223,6.139884552226255,-0.04639308855291577,-21.48,0.4334375743532387,0.38742980561555074,0.012958963282937365,0.4319654427645788,6.139884552226255,-0.23073523067396545,-106.830411802046,0.6623998666253456,0.6093695468488541,0.550755939524838,0.4708423326133909,,0.004668222222222223,-0.0030093333333333335,0.010335777777777777,0.011831443004621411,,0.0030093333333333335,,,0.0,
2015-01-15,-0.006517111111111111,6.349138991379798,0.05126094570928196,29.27,0.4715928442366832,0.4280735551663748,0.04903677758318739,0.36777583187390545,6.349138991379798,-0.12273201059905613,-70.07997805206105,0.6633561302619444,0.5846917265202465,0.5043782837127846,0.4273204903677758,,0.006517111111111111,-0.004668222222222223,-0.006123888888888891,0.010683533689113343,,0.004668222222222223,,,0.0,
