spec,target,n_oos,auc_baseline,auc_with_news,lift,auc_ci_low,auc_ci_high,null_mean,null_p95,p_value,clears_perm,beats_half,clears_both,detectable_bound
1. RavenPack news flow,y_magnitude,2206,0.5,0.49018091997106594,-0.009819080028934057,0.4552114255686376,0.5293573543300846,-0.02693402709278622,0.00272374564345368,0.172,False,False,False,0.5027237456434537
2. RavenPack tone,y_magnitude,2206,0.5,0.47406046557506415,-0.02593953442493585,0.44567109759943907,0.5047413520560071,-0.012333454987834546,0.010523730847635958,0.824,False,False,False,0.5105237308476359
3. FinBERT tone,y_magnitude,2206,0.5,0.5025161110015125,0.0025161110015125,0.47685174319853935,0.5294765264042466,-0.015155504044190178,0.007938367199316143,0.108,False,False,False,0.5079383671993162
4. Trailing volatility (control),y_magnitude,2206,0.5,0.5520599066219505,0.05205990662195048,0.5155346464288603,0.5833785142312867,-0.01010737489314131,0.025465533964621534,0.032,True,True,True,0.5254655339646215
5. Flow | vol + trailing flow,y_magnitude,2206,0.550707733280726,0.5604220096008417,0.009714276320115678,0.5277425330326889,0.5929726999143954,-0.0012772275925560525,0.005957042809232534,0.004,True,True,True,0.5566647760899585
6. RavenPack news -> direction,y_direction,2246,0.4885548186753006,0.518128457887494,0.02957363921219336,0.49867707162614344,0.5417718443679129,0.007063920818137698,0.02888047695276611,0.044,True,False,False,0.5174352956280667
