model,AUC (mean folds),AUC (pooled),F1 (mean folds),Accuracy (mean folds),AUC lift vs M0
M0 Market only,0.49751207463893243,0.4884803718904259,0.6699571504078974,0.5224417564707009,0.0
M1 Market + RavenPack,0.4969725238250344,0.4926164744646343,0.6618524306229273,0.519899659727889,-0.0005395508138980598
M2 Market + FinBERT,0.4936118252565417,0.48386224170402026,0.634625436482994,0.5057038024643027,-0.0039002493823907525
Always-up reference,0.5,0.5,0.6882124948363854,0.5250676712472421,0.0024879253610675667
