model,AUC (mean folds),AUC (pooled),F1 (mean folds),Accuracy (mean folds),AUC lift vs M0
M0 Market only,0.49751207463893243,0.4884803718904259,0.6699571504078974,0.5224417564707009,0.0
M1 Market + RavenPack,0.49732949447498925,0.49358221313819844,0.6625701208598652,0.5222593206859275,-0.0001825801639431801
M2 Market + FinBERT,0.4936118252565417,0.4838622747128275,0.634625436482994,0.5057038024643027,-0.0039002493823907525
M3 Market + RavenPack + FinBERT,0.4988117751897927,0.4916612656005812,0.6470244741567694,0.5170669113736123,0.001299700550860261
Always-up reference,0.5,0.5,0.6882124948363854,0.5250676712472421,0.0024879253610675667
