ticker,model,fold,metric,score
XLK,Market-only model,2022,auc_roc,0.47554104238698935
XLK,Market-only model,2022,f1,0.5190311418685121
XLK,Market-only model,2022,directional_accuracy,0.44621513944223107
XLK,Market + news sentiment model,2022,auc_roc,0.49110001280573695
XLK,Market + news sentiment model,2022,f1,0.5524475524475524
XLK,Market + news sentiment model,2022,directional_accuracy,0.4900398406374502
XLK,Always-up reference,2022,auc_roc,0.5
XLK,Always-up reference,2022,f1,0.6246575342465753
XLK,Always-up reference,2022,directional_accuracy,0.4541832669322709
XLK,Market-only model,2023,auc_roc,0.5446147798742138
XLK,Market-only model,2023,f1,0.625
XLK,Market-only model,2023,directional_accuracy,0.52
XLK,Market + news sentiment model,2023,auc_roc,0.5118579664570231
XLK,Market + news sentiment model,2023,f1,0.6153846153846154
XLK,Market + news sentiment model,2023,directional_accuracy,0.52
XLK,Always-up reference,2023,auc_roc,0.5
XLK,Always-up reference,2023,f1,0.7309644670050761
XLK,Always-up reference,2023,directional_accuracy,0.576
XLK,Market-only model,2024,auc_roc,0.5369642281662906
XLK,Market-only model,2024,f1,0.7031700288184438
XLK,Market-only model,2024,directional_accuracy,0.5912698412698413
XLK,Market + news sentiment model,2024,auc_roc,0.5280051563003545
XLK,Market + news sentiment model,2024,f1,0.6894586894586895
XLK,Market + news sentiment model,2024,directional_accuracy,0.5674603174603174
XLK,Always-up reference,2024,auc_roc,0.5
XLK,Always-up reference,2024,f1,0.7304785894206549
XLK,Always-up reference,2024,directional_accuracy,0.5753968253968254
XLK,Market-only model,2025,auc_roc,0.5505473712663873
XLK,Market-only model,2025,f1,0.7193460490463215
XLK,Market-only model,2025,directional_accuracy,0.5863453815261044
XLK,Market + news sentiment model,2025,auc_roc,0.5052709825652115
XLK,Market + news sentiment model,2025,f1,0.7213114754098361
XLK,Market + news sentiment model,2025,directional_accuracy,0.5903614457831325
XLK,Always-up reference,2025,auc_roc,0.5
XLK,Always-up reference,2025,f1,0.755
XLK,Always-up reference,2025,directional_accuracy,0.606425702811245
