spec,n_oos,target,auc_baseline,auc_with_news,lift,auc_ci_low,auc_ci_high,beats_half,null_mean,null_p95,p_value,clears_perm,clears_both,detectable_bound
1. RavenPack news flow,948,y_magnitude,0.5,0.5289921859346824,0.028992185934682446,0.4976529542781603,0.5604941051433309,False,-0.024013927291346642,0.013118724815779494,0.008,True,False,0.5131187248157795
2. RavenPack tone,948,y_magnitude,0.5,0.5013869409381331,0.0013869409381330744,0.4626260987470742,0.5404881613061945,False,-0.010200868229479727,0.019759121975110733,0.308,False,False,0.5197591219751108
3. FinBERT tone,948,y_magnitude,0.5,0.5237828090563014,0.02378280905630137,0.4958451081133793,0.5570404757495709,False,-0.010202577973685963,0.020193236714975832,0.036,True,False,0.5201932367149759
4. Trailing volatility (control),948,y_magnitude,0.5,0.5260001335737661,0.02600013357376607,0.4822235916949682,0.5676976060466328,False,-0.01238241278746187,0.021875375676217175,0.044,True,False,0.5218753756762172
5. Flow | vol + trailing flow,948,y_magnitude,0.5141387831429908,0.5436853002070393,0.02954651706404854,0.5119425351713583,0.5736987300078046,True,9.163160355301158e-05,0.012226452058149095,0.0,True,True,0.5263652352011399
6. RavenPack news -> direction,988,y_direction,0.46251212734119346,0.49163419005804676,0.029122062716853303,0.4617449295520535,0.5267846024904215,False,0.019104977554141412,0.049621585845131884,0.312,False,False,0.5121337131863254
