ticker,sector,model,fold,metric,score
XLF,Financials,Always-up reference,2024,f1,0.7240506329113924
XLF,Financials,Always-up reference,2024,directional_accuracy,0.5674603174603174
XLF,Financials,Market-only model,2025,auc_roc,0.47835105003889034
XLF,Financials,Market-only model,2025,f1,0.6721763085399449
XLF,Financials,Market-only model,2025,directional_accuracy,0.5220883534136547
XLF,Financials,Market + news sentiment model,2025,auc_roc,0.5019445164635727
XLF,Financials,Market + news sentiment model,2025,f1,0.6402439024390244
XLF,Financials,Market + news sentiment model,2025,directional_accuracy,0.5261044176706827
XLF,Financials,Always-up reference,2025,auc_roc,0.5
XLF,Financials,Always-up reference,2025,f1,0.6963350785340314
XLF,Financials,Always-up reference,2025,directional_accuracy,0.5341365461847389
XLC,Communication Services,Market-only model,2022,auc_roc,0.5205242966751918
XLC,Communication Services,Market-only model,2022,f1,0.5484949832775919
XLC,Communication Services,Market-only model,2022,directional_accuracy,0.46215139442231074
XLC,Communication Services,Market + news sentiment model,2022,auc_roc,0.5119565217391304
XLC,Communication Services,Market + news sentiment model,2022,f1,0.5435540069686411
XLC,Communication Services,Market + news sentiment model,2022,directional_accuracy,0.47808764940239046
XLC,Communication Services,Always-up reference,2022,auc_roc,0.5
XLC,Communication Services,Always-up reference,2022,f1,0.6284153005464481
XLC,Communication Services,Always-up reference,2022,directional_accuracy,0.4581673306772908
XLC,Communication Services,Market-only model,2023,auc_roc,0.5041924664602683
XLC,Communication Services,Market-only model,2023,f1,0.4979253112033195
XLC,Communication Services,Market-only model,2023,directional_accuracy,0.516
XLC,Communication Services,Market + news sentiment model,2023,auc_roc,0.5070304437564499
XLC,Communication Services,Market + news sentiment model,2023,f1,0.5182186234817814
XLC,Communication Services,Market + news sentiment model,2023,directional_accuracy,0.524
XLC,Communication Services,Always-up reference,2023,auc_roc,0.5
XLC,Communication Services,Always-up reference,2023,f1,0.7046632124352331
XLC,Communication Services,Always-up reference,2023,directional_accuracy,0.544
XLC,Communication Services,Market-only model,2024,auc_roc,0.5142373102234965
XLC,Communication Services,Market-only model,2024,f1,0.7131367292225201
XLC,Communication Services,Market-only model,2024,directional_accuracy,0.5753968253968254
XLC,Communication Services,Market + news sentiment model,2024,auc_roc,0.5370430703069003
XLC,Communication Services,Market + news sentiment model,2024,f1,0.7127659574468085
XLC,Communication Services,Market + news sentiment model,2024,directional_accuracy,0.5714285714285714
XLC,Communication Services,Always-up reference,2024,auc_roc,0.5
XLC,Communication Services,Always-up reference,2024,f1,0.743142144638404
XLC,Communication Services,Always-up reference,2024,directional_accuracy,0.5912698412698413
XLC,Communication Services,Market-only model,2025,auc_roc,0.46538107147558244
XLC,Communication Services,Market-only model,2025,f1,0.7108753315649867
XLC,Communication Services,Market-only model,2025,directional_accuracy,0.5622489959839357
XLC,Communication Services,Market + news sentiment model,2025,auc_roc,0.475450835856259
XLC,Communication Services,Market + news sentiment model,2025,f1,0.6910112359550562
XLC,Communication Services,Market + news sentiment model,2025,directional_accuracy,0.5582329317269076
XLC,Communication Services,Always-up reference,2025,auc_roc,0.5
XLC,Communication Services,Always-up reference,2025,f1,0.7263427109974424
XLC,Communication Services,Always-up reference,2025,directional_accuracy,0.570281124497992
XLY,Consumer Discretionary,Market-only model,2022,auc_roc,0.5074511819116135
XLY,Consumer Discretionary,Market-only model,2022,f1,0.6127167630057804
XLY,Consumer Discretionary,Market-only model,2022,directional_accuracy,0.46613545816733065
